Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail
Valine-C2:0	Rodents	TRUE	C2:0	Short		Tryptamine-C10:3	Rodents	TRUE	C10:3	Medium		Alanine/Sarcosine-C14:2	Humans	TRUE	C14:2	Long		Tyramine-C29:0	Foods	TRUE	C29:0	Very long
Valine-C2:0	Microbes	TRUE	C2:0	Short		2-phenethylamine-C10:4	Plants	TRUE	C10:4	Medium		Alanine/Sarcosine-C14:3	Humans	TRUE	C14:3	Long		Tyramine-C29:0	Plants	TRUE	C29:0	Very long
Valine-C2:0	Plants	TRUE	C2:0	Short		Tyramine-C10:4	Humans	TRUE	C10:4	Medium		Tryptophan-C14:4	Foods	TRUE	C14:4	Long		Dopamine-C29:1	Foods	TRUE	C29:1	Very long
2-aminovaleric acid-C3:0	Humans	TRUE	C3:0	Short		Tyramine-C10:4	Rodents	TRUE	C10:4	Medium		2-phenethylamine-C15:0	Humans	TRUE	C15:0	Long		Tyramine-C29:1	Foods	TRUE	C29:1	Very long
Amylamine-C3:0	Microbes	TRUE	C3:0	Short		Alanine/Sarcosine-C11:0	Humans	TRUE	C11:0	Medium		2-phenethylamine-C15:0	Microbes	TRUE	C15:0	Long		Dopamine-C30:0	Foods	TRUE	C30:0	Very long
Cadaverine-C3:0	Humans	TRUE	C3:0	Short		Arginine-C11:0	Microbes	TRUE	C11:0	Medium		Alanine/Sarcosine-C15:0	Humans	TRUE	C15:0	Long		Dopamine-C30:0	Plants	TRUE	C30:0	Very long
Cadaverine-C3:0	Rodents	TRUE	C3:0	Short		Asparagine-C11:0	Humans	TRUE	C11:0	Medium		Alanine/Sarcosine-C15:0	Rodents	TRUE	C15:0	Long		Tyramine-C30:0	Foods	TRUE	C30:0	Very long
Cadaverine-C3:0	Microbes	TRUE	C3:0	Short		Asparagine-C11:0	Microbes	TRUE	C11:0	Medium		Alanine/Sarcosine-C15:0	Microbes	TRUE	C15:0	Long		Tyramine-C30:0	Plants	TRUE	C30:0	Very long
Glutamic acid-C3:0	Humans	TRUE	C3:0	Short		Citrulline-C11:0	Microbes	TRUE	C11:0	Medium		Alanine/Sarcosine-C15:0	Plants	TRUE	C15:0	Long		Tyramine-C30:1	Foods	TRUE	C30:1	Very long
Glutamic acid-C3:0	Rodents	TRUE	C3:0	Short		Glutamic acid-C11:0	Microbes	TRUE	C11:0	Medium		Arginine-C15:0	Microbes	TRUE	C15:0	Long		Tyramine-C30:1	Plants	TRUE	C30:1	Very long
Histamine-C3:0	Humans	TRUE	C3:0	Short		Lysine-C11:0	Humans	TRUE	C11:0	Medium		Asparagine-C15:0	Humans	TRUE	C15:0	Long		Tyramine-C30:2	Foods	TRUE	C30:2	Very long
Histamine-C3:0	Rodents	TRUE	C3:0	Short		Lysine-C11:0	Microbes	TRUE	C11:0	Medium		Asparagine-C15:0	Rodents	TRUE	C15:0	Long		Tyramine-C30:2	Plants	TRUE	C30:2	Very long
Leucine-C3:0	Humans	TRUE	C3:0	Short		Tryptamine-C11:0	Microbes	TRUE	C11:0	Medium		Asparagine-C15:0	Microbes	TRUE	C15:0	Long						
Methionine-C3:0	Humans	TRUE	C3:0	Short		Tyrosine-C11:0	Microbes	TRUE	C11:0	Medium		Cadaverine-C15:0	Humans	TRUE	C15:0	Long						
Methionine-C3:0	Microbes	TRUE	C3:0	Short		Glutamic acid-C11:1	Humans	TRUE	C11:1	Medium		Cadaverine-C15:0	Microbes	TRUE	C15:0	Long						
Methionine-C3:0	Foods	TRUE	C3:0	Short		Glutamine-C11:1	Humans	TRUE	C11:1	Medium		Citrulline-C15:0	Humans	TRUE	C15:0	Long						
N-acetylcadaverine-C3:0	Humans	TRUE	C3:0	Short		Glutamine-C11:1	Microbes	TRUE	C11:1	Medium		Citrulline-C15:0	Microbes	TRUE	C15:0	Long						
N-acetylcadaverine-C3:0	Rodents	TRUE	C3:0	Short		Glutamine-C11:2	Humans	TRUE	C11:2	Medium		Glutamic acid-C15:0	Humans	TRUE	C15:0	Long						
Phenylalanine-C3:0	Humans	TRUE	C3:0	Short		Glutamine-C11:2	Microbes	TRUE	C11:2	Medium		Glutamic acid-C15:0	Microbes	TRUE	C15:0	Long						
Phenylalanine-C3:0	Rodents	TRUE	C3:0	Short		Histidine-C11:2	Foods	TRUE	C11:2	Medium		Glutamine-C15:0	Humans	TRUE	C15:0	Long						
Phenylalanine-C3:0	Foods	TRUE	C3:0	Short		Phenylalanine-C11:4	Microbes	TRUE	C11:4	Medium		Glutamine-C15:0	Rodents	TRUE	C15:0	Long						
Spermidine-C3:0	Humans	TRUE	C3:0	Short		Phenylalanine-C11:4	Foods	TRUE	C11:4	Medium		Glutamine-C15:0	Microbes	TRUE	C15:0	Long						
Spermidine-C3:0	Rodents	TRUE	C3:0	Short		Tryptamine-C11:4	Humans	TRUE	C11:4	Medium		Histidine-C15:0	Microbes	TRUE	C15:0	Long						
Threonine/homoserine-C3:0	Humans	TRUE	C3:0	Short		Tryptamine-C11:4	Microbes	TRUE	C11:4	Medium		Leucine-C15:0	Humans	TRUE	C15:0	Long						
Threonine/homoserine-C3:0	Rodents	TRUE	C3:0	Short		Alanine/Sarcosine-C12:0	Humans	TRUE	C12:0	Medium		Leucine-C15:0	Rodents	TRUE	C15:0	Long						
Threonine/homoserine-C3:0	Microbes	TRUE	C3:0	Short		Alanine/Sarcosine-C12:0	Rodents	TRUE	C12:0	Medium		Leucine-C15:0	Microbes	TRUE	C15:0	Long						
Tryptamine-C3:0	Microbes	TRUE	C3:0	Short		Aminoadipic acid-C12:0	Microbes	TRUE	C12:0	Medium		Leucine-C15:0	Foods	TRUE	C15:0	Long						
Tryptophan-C3:0	Humans	TRUE	C3:0	Short		Arginine-C12:0	Humans	TRUE	C12:0	Medium		Lysine-C15:0	Humans	TRUE	C15:0	Long						
Tryptophan-C3:0	Microbes	TRUE	C3:0	Short		Arginine-C12:0	Microbes	TRUE	C12:0	Medium		Lysine-C15:0	Rodents	TRUE	C15:0	Long						
