filename	SampleType	Mouse_group	Bacteria	BodyPart	Bacteria_Family	Bacteria_Order	Bacteria_Class	Bacteria_Phyllum
Bacteroides_cellulosilyticus_DSM_14838_SI-1.mzML	Mus musculus	monocolonized	Bacteroides cellulosilyticus DSM 14838	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_cellulosilyticus_DSM_14838_SI-2.mzML	Mus musculus	monocolonized	Bacteroides cellulosilyticus DSM 14838	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_cellulosilyticus_DSM_14838_SI-3.mzML	Mus musculus	monocolonized	Bacteroides cellulosilyticus DSM 14838	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_dorei_DSM_17855_CO-1.mzML	Mus musculus	monocolonized	Bacteroides dorei DSM 17855	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_dorei_DSM_17855_CO-2.mzML	Mus musculus	monocolonized	Bacteroides dorei DSM 17855	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_dorei_DSM_17855_CO-3.mzML	Mus musculus	monocolonized	Bacteroides dorei DSM 17855	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_dorei_DSM_17855_SI-1.mzML	Mus musculus	monocolonized	Bacteroides dorei DSM 17855	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_dorei_DSM_17855_SI-2.mzML	Mus musculus	monocolonized	Bacteroides dorei DSM 17855	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_dorei_DSM_17855_SI-3.mzML	Mus musculus	monocolonized	Bacteroides dorei DSM 17855	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_fragilis_NCTC9343_CO-1.mzML	Mus musculus	monocolonized	Bacteroides fragilis NCTC9343	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_fragilis_NCTC9343_CO-2.mzML	Mus musculus	monocolonized	Bacteroides fragilis NCTC9343	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
