Taxa_NCBI	superkingdom	kingdom	clade	phylum	class	order	family	genus	species	strain
1261071	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	Gardnerella vaginalis JCP8522
1286	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus simulans	
1204475	Bacteria			Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	Fusobacterium nucleatum CTI-2
658087	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		Lachnospiraceae bacterium 7_1_58FAA	
1261068	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	Gardnerella vaginalis JCP8151B
858663	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii	Lactobacillus jensenii EX849587VC03
1134804	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	Enterococcus faecium 503
469597	Bacteria		Terrabacteria group	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Coprobacillus	Coprobacillus sp. 8_2_54BFAA	
883120	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	Klebsiella oxytoca 10-5245
1190621	Bacteria		Terrabacteria group	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella uli	Olsenella uli MSTE5
908340	Bacteria		Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. HGF2	
1170562	Bacteria		Cyanobacteriota/Melainabacteria group	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	Calothrix sp. PCC 6303	
1158629	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	Enterococcus faecalis EnGen0248
999420	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae	Parabacteroides merdae CL03T12C32
411468	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	[Clostridium] scindens	[Clostridium] scindens ATCC 35704
411476	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	Bacteroides ovatus ATCC 8483
999418	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides goldsteinii	Parabacteroides goldsteinii CL02T12C30
1150298	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	
1121098	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola massiliensis	Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223
195103	Bacteria		Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium perfringens	Clostridium perfringens ATCC 13124
491074	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	Enterococcus faecalis TX0104
999416	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	Parabacteroides distasonis CL03T12C09
525279	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	Enterococcus faecium TX1330
658082	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		Lachnospiraceae bacterium 2_1_58FAA	
1161743	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum subsp. longum 44B
454155	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella xylaniphila	
28130	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella disiens	
28090	Bacteria			Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter lwoffii	
667015	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola salanitronis	Phocaeicola salanitronis DSM 18170
537012	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus	Bacteroides cellulosilyticus DSM 14838
74426	Bacteria		Terrabacteria group	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	
28126	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella buccae	
454154	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella clara	
1002367	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Leyella	Leyella stercorea	Leyella stercorea DSM 18206
